country,description,price,province,region_1,region_2,label
US,"Thick and brooding, this dark, sweetly tannic wine also offers higher-toned elements of cedar, dried herb and graphite. It finds its balance amid a full-bodied density of fruit concentration and girth of structure. Drink now through 2023.",85.0,California,Spring Mountain District,Napa,True
US,"Cooked cranberry is spiced with anise, peppercorn and roasted beef slices on this bottling from a vineyard planted by three brothers who are longtime Salinas Valley farmers. The palate shows dark cranberry and raspberry, spiced up by chopped sage, thyme and bay leaf.",64.0,California,Santa Lucia Highlands,Central Coast,True
US,"There's a touch of hot asphalt, pencil lead and miso on the nose of this first vintage from a promising, well-funded project, with dark elderberry fruit and dried dill rounding out the aromas. The palate blends a gamy beef quality with oregano, marjoram, cooked strawberry, baked blackberry and a sesame-oil character.",68.0,California,Santa Ynez Valley,Central Coast,True
US,"Black cherry, black plum and black currant are integrated well into the fresh dill and smoke scents on the nose of this wine from one of the region's newest properties. It discloses a rich dark-chocolate sauce character on the palate as well as black-currant-jelly flavors, but most impressive is the lush, sexy and soft mouthfeel.",68.0,California,Santa Ynez Valley,Central Coast,True
US,"Smashed blackberry and blueberry fruit are enhanced by burned caramel, heavy slate and touches of soy and smoke on the nose. There's great depth in both body and flavors once sipped, with a layer of fine-grained tannins revealing teriyaki, black plum, boysenberry and touches of lavender.",35.0,California,Monterey,Central Coast,True
US,"This wine shows off Yountville fruit at its finest, starting with a floral component to the nose. Spicy, bright and lifted, it coats the palate in ripe berry and cherry, ending with a snap of vanilla.",25.0,California,Napa Valley,Napa,True
US,"From a promising new project, the nose of this wine is linear and focused, with black raspberry, black licorice, cola, wet sagebrush and rain-on-slate scents. The tactile acidity once sipped creates a fascinating soft buzz on the tongue, with flavors of dried mint, brisk raspberry and cherry tomato. Camphor and eucalyptus add intrigue on the finish.",55.0,California,Carmel Valley,Central Coast,True
US,"Dark and thick in the glass, this wine shows strong but not bitter tar notes on the nose plus charred beef in a blueberry glaze, wet campfire, bourbon barrel and vanilla. The structure is massive now, gooey with thick tannins and flavors of espresso bean and condensed purple flowers. Judicious acidity ensures strong cellaring potential. Drink 2018–2027.",46.0,California,Paso Robles,Central Coast,True
US,"A hearty blend of 76% Zinfandel and 24% Petite Sirah, this bottling packs a wallop of cinnamon-stick on the nose as well as strawberry puree, licorice and black pepper. Clove, allspice, and nutmeg arise immediately on the sip, backed by baked plum and bay leaf notes.",35.0,California,Paso Robles,Central Coast,True
US,"More complex than the winery's appellation blend, yet also requiring time to reach full potential, this shows delicate lemon slices, honeysuckle, surf wax, pink grapefruit and a touch of coconut on the nose. The palate is grippy in texture and sizzling with mouthwatering acidity, offering lemon rind, grapefruit spritz and petrol flavors. Expect inviting nut and honey-dust flavors to emerge. Drink 2018–2034.",28.0,California,Edna Valley,Central Coast,True
US,"A fairly elegant expression of the variety, this wine is bright in cherry kirsch and pretty aromas of rose petal and lavender, structured to age and enjoy with food. Rector Creek Vineyard is just north of Yountville and planted in rocky alluvial soils. Drink now through 2022.",95.0,California,Napa Valley,Napa,True
US,"This wine is put together from multiple vineyard sources, including the well-known Morelli Lane and Widdoes, all farmed by the Duttons. Larger in production than many of the vineyard-designates, it offers baked bread and juicy overtones of cranberry-raspberry layered atop luxuriously toasted oak. It'll show well at the table.",44.0,California,Russian River Valley,Sonoma,True
US,"This is a soft, well-crafted wine from the eastern side of St. Helena that's both classic in its dried herb, tobacco and tea aromas and fruity with red currant and cranberry notes.",60.0,California,Napa Valley,Napa,True
US,"This is a beatifully balanced, not-too-full-bodied wine from vines grown at 2,400 feet in the Sierra range. It has classic black cherry, black olive and anise aromas, harmonious fruit flavors accented with light oak spiciness and a firm, fine-grained tannic structure.",28.0,California,Nevada County,Sierra Foothills,True
US,"This bottling belongs to a series of wines from the legendary Jerry Lohr emphasizing Rhône varieties. It shows candied blackberry, violets and potpourri on the fruity, flowery and inviting nose. The palate leads with savory black pepper, which accents its core of black plum, blackberry and purple flower flavors.",30.0,California,Paso Robles,Central Coast,True
US,"Rich honeysuckle, marzipan and oak aromas meet bright lemongrass on the nose of this bottling, showing both the fresh and oxidative sides of the grape. Smoked chicken and brioche notes are prominent on the palate, leading to a tangy, botanical, juniper-laced finish.",25.0,California,Arroyo Seco,Central Coast,True
US,"Juicy and austere in understated waves of cranberry and cherry fruit, this wine delivers subtle power and intensity in a leathery-textured package. True to its old vine heritage, it shows a dry dustiness of peppery spice.",32.0,California,Dry Creek Valley,Sonoma,True
US,"This blend of 60% Petite Sirah, 21% Syrah, 7% Grenache, 6% Petit Verdot, 5% Tannat and 1% Viognier is tightly wound but likely to improve with time. Opened now, it offers elderberry, black currant, pencil lead and loam on the nose, with lava rock, crème de cassis and kirsch flavors slowing emerging on the palate.",48.0,California,Paso Robles,Central Coast,True
US,"This is a big, brawny expression of Grenache, Mourvèdre, Syrah and Counoise, the Grenache playing the dominant role in the blend. It coats the palate in dense raspberry and blueberry fruit, seasoned with pepper and nutmeg. A leathery touch to the texture and lifted acidity keeps it from feeling heavy or overdone.",36.0,California,Dry Creek Valley,Sonoma,True
US,"There is an odd, piercing edge to the aromas, a mix of acetic acid and pungent herb, with a hint of diesel. Somehow it's not off-putting, just atypical. The light, tart fruit is a mix of rhubarb and cranberry, very earthy and tasting of dirt and bark in the finish. This could be quite pleasant with a hearty, rustic dish such as beef Bourgogne.",28.0,Oregon,Willamette Valley,Willamette Valley,False
US,"This seems as if it was assembled from lesser barrels. It's pleasant, very light, simple and tart; the dominant flavor is cranberry juice.",45.0,Oregon,Willamette Valley,Willamette Valley,False
US,"Spicy and tannic, this inexpensive Pinot from Cherry Hill opens with earthy fruit and leaf flavors—tomato and herb dominate, with just a suggestion of berry. There isn't much in the way of ripeness here, to either fruit or tannins.",22.0,Oregon,Willamette Valley,Willamette Valley,False
US,"Young, tart and wrapped up tight as a drum, this offers sharp flavors of cranberry and a bit of Campari. It has the heft and polish to open up further with some additional bottle age, but it isn't budging at the moment.",40.0,Oregon,Willamette Valley,Willamette Valley,False
US,"Beaver Creek makes a variation of Fairytale every vintage and this one, sourced from Napa Valley, is 41% Merlot, 36% Zinfandel and 23% Syrah, a mix that seems to work very nicely here. The wine's Zin almost tastes as if it has mountain tannins; the wine is overall herbal and earthy, ripe and sturdy with balanced fruit.",39.0,California,Napa Valley,Napa,False
US,"Bella Vida replaces the Abbey Ridge bottling and does so with pizzazz. The best of the 2011 releases, this is a beautiful expression of grapes grown on red clay soils, with refined, deeply penetrating flavors of ripe raspberries. Smooth, supple and long, with uncommon purity, it finishes with a kiss of chocolate from 18 months in one-quarter new oak barrels.",52.0,Oregon,Dundee Hills,Willamette Valley,True
US,"A good, clean, tart and lightly spicy all-stainless style. Cool climate fruit puts the accent on lime and lemon flavors, keeps the alcohol low (13.3%), and makes this a fine match to shellfish, white fish and light pasta dishes.",14.0,Washington,Columbia Valley (WA),Columbia Valley,False
US,"Plummy and hinting at black cherry, this wine is otherwise soft and simple, with a distracting, full-throttled descent into raisin cake and prune.",48.0,California,Dry Creek Valley,Sonoma,False
US,"Citrus-kissed saltiness lies at the core of this incredibly delicious, deliriously crafted wine, from the great grape grower in the heart of the Russian River Valley. Beautifully crisp, it lingers in stony minerality and a freshness of apricot, memorable from first sip to last.",68.0,California,Russian River Valley,Sonoma,True
US,"A waft of smoky char and toasty oak provide a rich foundation and compelling entry into this one-acre vineyard-designate from the historic grower, before unleashing, slowly, a torrent of melon and fresh-cut apple with a length of intriguing nutmeg and cardamom. Medium-bodied and lush, it will remain on your palate memory a long time.",68.0,California,Russian River Valley,Sonoma,True
US,"As impressive as the woman—a pioneer in the Napa Valley—was herself, this 100% varietal wine from the estate property high atop Diamond Mountain is powerfully elegant, intense yet refined. It begins with a high-toned, graceful entry that's rich in blueberry and chocolate, the oak smooth and integrated, with a suggestion of hand-rolled tobacco. Drink now through 2022.",200.0,California,Diamond Mountain District,Napa,True
US,"For 2014, the Weber is the star of a very fine Winderlea lineup. Dark and deeply concentrated, it's jammed with black cherry fruit, annotated with anise and showing a hint of gunmetal. The tannins are ripe and taste of clean earth. This is a fine candidate for aging. Drink now through 2030.",48.0,Oregon,Dundee Hills,Willamette Valley,True
US,"Delicate and complex, a cool climate wine with a mixture of ripe cherry flavors and leaner ones of tobacco, tomato skin, and cranberry. Bone dry with excellent acidity, this somewhat tart wine is well made, and may be an ager.",25.0,California,Edna Valley,Central Coast,False
US,"Fresh and delicate with floral and citrus overtones, this wine has an elegant character. Its dry, spicy flavors are subtle and refreshing, giving the wine food pairing flexibility. Ideally, though, think of spicy cuisine like Indian, Thai or Indonesian.",20.0,New York,Finger Lakes,Finger Lakes,False
US,"All varietal, this wine is a blend of fruit from top sites Ciel du Cheval, Conner Lee, Obelisco and Stonetree. The aromas are quite reserved, with notes of barrel spice that are followed by full-bodied fruit flavors with a spicy finish. It drinks well but the variety seems lost.",30.0,Washington,Columbia Valley (WA),Columbia Valley,False
US,"The light aromas suggest notes of star fruit and citrus. The palate is flavorful, with racy acids keeping the fruit in focus.",20.0,Washington,Walla Walla Valley (WA),Columbia Valley,False
US,"This wine is dry and rather full bodied, starting with fruity aromas like banana and coconut then seguing to more nutty, oaky, complex flavors and a rich texture. It's a serious dinner wine with heft and substance.",30.0,California,California,California Other,False
US,"Aromas of coffee, barrel spice and dark-blue fruit lead to rich, full-bodied blackberry and spice flavors. It's not for the faint of heart but delivers a lot of enjoyment.",42.0,Washington,Wahluke Slope,Columbia Valley,False
US,"Yellow pear, fresh-squeezed lime, light mint and wet-cement aromas show on the brisk nose of this bottling by veteran Adam Tolmach. A grippy texture and lively acidity frame the palate, where green apple and lime flavors show. It's clean, pure and easy.",30.0,California,Santa Ynez Valley,Central Coast,False
US,"This Tempranillo-based pinkie is quite inviting and tightly textured, with aromas of orange shave ice, strawberry cream, watermelon and cement. It is extremely zesty and lively once sipped, offering easy-to-drink raspberry and melon notes. It's great for all sorts of food, from spicy to rich.",24.0,California,Templeton Gap District,Central Coast,False
US,"The aromas of whole lime, flowers, jasmine and watermelon Jolly Rancher pop. It drinks off dry, with floral flavors that carry through the finish.",16.0,Washington,Snipes Mountain,Columbia Valley,False
US,"Smoky aromas and a bold apricot flavor give this dry and seemingly light-bodied wine a distinct personality. Fermented in small concrete egg-shaped vats, it's far from simple and fruity, and instead offers great acidity and a tangy, tempting, appetizing personality.",27.0,California,Santa Barbara County,Central Coast,False
US,"Blended from all five Bordeaux varieties, with Cabernet Sauvignon and Merlot almost equal in proportion, this is a lovely, well-crafted wine, softly concentrated with highlights of licorice, lavender, violets and black pepper. From three ranches farmed by the family, it's both seamless and structured.",54.0,California,Alexander Valley,Sonoma,False
US,"Berry crumble and licorice star in this full-bodied, hearty and smooth wine, blended with 4% Petite Sirah. Spicy oak and milk chocolate unleash further flavor and spice on the finish.",32.0,California,Sonoma Valley,Sonoma,False
US,"Proving that exceptional wines can be (and were) made in this cool, light vintage, this estate-grown selection is both elegant and complex. Flavors of mixed wild berries, a streak of tea, a whiff of peach and compelling balance carry it through an extended finish.",50.0,Oregon,Ribbon Ridge,Willamette Valley,True
US,"A marvelous Pinot Blanc, this combines aromatic hints of almond with mixed citrus fruit and rind, zippy acidity and a great wash of minerality. It cleanses and tickles the palate, lingering sensuously through a finish of surprising depth.",29.0,Oregon,Dundee Hills,Willamette Valley,True
US,"Dense, dark and spicy, this opens with a thicket of briar and bramble—one almost wants to say thistle—wrapped around taut, compact black fruits. There is a hint of gun metal running through the palate, and as the wine warms and slowly opens, it reveals a lingering finish with a little pat of butter left on the tongue. This should be in fine shape for at least another decade.",65.0,Oregon,Willamette Valley,Willamette Valley,True
US,"This Stella Mae is 50% Cabernet Sauvignon, 30% Merlot and 20% Cabernet Franc. It remains a rather lean wine in the Sparkman portfolio, despite having alcohol at 14.6%. Here are lightly earthy flavors of strawberry and herb, with a hint of green in the tannins.",45.0,Washington,Red Mountain,Columbia Valley,False
US,"This El Dorado wine opens with aromas of sweet floral jasmine and is very pretty through and through. Its acidity sings perfectly through the middle of the wine, lifting the flavors of apple and dried apricot as well as the notes of lemon and lime on the finish. This should pair with a range of midweek dinners.",18.0,California,El Dorado,Sierra Foothills,False
US,"This wine has the variety's trademark notes of herb, green bell pepper, with a woodsy qulaity. This is a full-bodied effort, bearing a long, spicy finish.",30.0,California,Suisun Valley,North Coast,False
US,A Verdelho with a taste of nuts—like Marcona almonds—it gets more fruity and aromatic after a good swirl. This is marked by a tangy sweetness on the finish.,15.0,California,Lodi,Central Valley,False
US,"Medium bodied, this sharply defined wine brings in plenty of notes of herb, root and earth around its light berry fruit. It captures the defining flavors of Wahluke Slope Syrah in a somewhat muted style, reflecting the abbreviated growing season.",28.0,Washington,Wahluke Slope,Columbia Valley,False
US,"This would be a straightforward Bordeaux red blend if not for the 5% Petite Sirah within. Together, it's 74% Cabernet Sauvignon, 12% Merlot, 7% Cabernet Franc and 2% Malbec as well, sourced from Howell Mountain and valley floor sites. Dusty and herbal, the wine is thick and sizably tannic, with dense black fruit, leather and coffee.",65.0,California,Napa Valley,Napa,True
US,"Flint and smoke aromas show strongly on this bottling, alongside hints of lemon balm and a rustic apple cider vinegar savory kick. Tangy smoked tangerine flavors show on the energized sip, where a unique sandalwood smoky quality plays with more cider-like tang.",48.0,California,Monterey County,Central Coast,True
US,"Big tannins support the layers of extracted, concentrated fruit that leans red into cherry, cassis and currant. Char and vanilla speak for the oak.",90.0,California,Chiles Valley,Napa,True
US,"Delicate in cranberry and strawberry, this wine is highlighted in uplifted acidity and plenty of length and breadth within its medium-bodied structure. A pleasing streak of cardamom is consistent throughout, as accents of forest floor and cola figure in.",75.0,California,Sonoma Coast,Sonoma,True
US,"This is a relatively thick and dense wine, grippy in tannin and oak at first, youthful and desiring of time and air. Beyond its strength, its shows the beginnings of delicacy and grace, commingling raspberry with clove and tea.",55.0,California,Russian River Valley,Sonoma,True
US,"This is a soft, smooth and earthy wine, still unraveling from its youth, that's crisp and fresh in acidity. Chewy still in texture, it offers a glorious celebration of red cherry, rhubarb, tea and clove.",55.0,California,Russian River Valley,Sonoma,True
US,"Deliciously fruity but also well-structured, this full-bodied wine has excellent concentration and good balance. Effusive aromas of blueberry and black cherry lead to opulent but not overripe berry flavors that are lightly accented by clove and cinnamon nuances.",36.0,California,Calaveras County,Sierra Foothills,True
US,"Bob Lindquist is almost certainly the only vintner in America that is drying Marsanne on straw mats to make a dessert wine. The result is aromas of Asian pear, white peach, baked apple and baking spice, more fresh rather than sweet. It is viscous on the sip, and the sweetness steadily grows on the palate, offering cotton candy flavors. Fascinating stuff.",35.0,California,Edna Valley,Central Coast,True
US,"This is a delicate yet flavorful take on this grape, from a biodynamic, cool-climate vineyard. Light red plum and hibiscus aromas meet with sweet herbs and cinnamon spice on the nose. The lithe palate offers candied strawberry with thyme, anise and touches of garden herbs, with that red fruit flavor carrying deep into the finish. Would pair great with spicy food.",35.0,California,Edna Valley,Central Coast,True
US,"The Sims is amped up in 2014, dark and thick and showing a roasted character. Mocha, black tea and Kahlua flavors push the palate into a gritty charred mode. It's delicious, liquorous, and suitable for smoky ribs or a juicy burger. Drink now through 2020.",55.0,Oregon,Willamette Valley,Willamette Valley,True
US,"There's a whiff of volatility upon opening, then a rush of bright, tangy orange and cherry fruit. The 20% new oak aging does not really come through in scent or flavor. Though not in any way effervescent, this young release carries an impression of carbonation in the finish. Give it another year or two of bottle age and drink after 2019.",65.0,Oregon,Chehalem Mountains,Willamette Valley,True
US,"Wood spice, cherry and herb aromas are followed by luscious cherry flavors. It keeps you coming back for more with a high yum factor.",35.0,Washington,Horse Heaven Hills,Columbia Valley,True
US,"There's an expert balance between lightly melted butter, pithy Meyer lemon and toasted marcona almond on the nose of this bottling from the region's iconic vineyard. The palate is wound up tightly, offering good grip and lots of textural length while showing flavors of chamomile, saffron, sea salt and more Meyer lemon rinds.",49.0,California,Arroyo Grande Valley,Central Coast,True
US,"Just 8% of this reserve spent time in new oak, putting the emphasis on juicy jammy flavors of cranberry fruit. It rolls into sour cherry, some citrus and a most refreshing, clean and vivid mouthfeel. Drink now and into the mid-2020s.",55.0,Oregon,Dundee Hills,Willamette Valley,True
US,"From the sought-after site on Westside Road, this wine delivers a nuanced, elegant expression of juicy red cherry, plum, pomegranate and light, compelling spice. With a depth of body and soft, integrated tannin, it's complex without being overpowering, finishing in a mix of sautéed mushroom and forest floor.",45.0,California,Russian River Valley,Sonoma,True
US,"One of a crop of new Oregon sparklers, this was barrel fermented with native yeast and aged for 56 months prior to disgorging. Fine tiny bubbles and a fresh, yeasty aroma introduce the wine, which has excellent concentration. Green apple and green banana, a touch of cucumber and a nice toasty frame all combine gracefully. The odds are that this will continue to improve in bottle for another five years at least.",50.0,Oregon,Oregon,Oregon Other,True
US,"Scott Shull (Raptor Ridge) consults here. This brings a blend of clones from the estate vineyard, with ample new wood still showing through. Black fruits and a vein of coffee are also in the mix, with a balanced, somewhat muscular mouthfeel. This has the strength to stand up to a lightly blackened grilled seafood filet.",50.0,Oregon,Willamette Valley,Willamette Valley,True
US,"Slightly liquorous when first opened, this pushes the alcohol up towards a place where some of the nuances are lost. But it has plenty of flavor, power and punch. Black coffee, black cherry, black olive and black licorice are entwined here, with some heat in the follow-through. Give it a good decanting and it will start to smooth out.",50.0,Oregon,Willamette Valley,Willamette Valley,True
US,"Black plum, charred wood, coffee syrup and cracked black pepper show on the excellently bright nose of this bottling. The flavors are equally intriguing, with umami touches of charred beef along with rosemary, bay leaf, olie and more black pepper.",38.0,California,Paso Robles,Central Coast,True
US,"This is sourced from 30-year-old Wädenswil vines from a vineyard in the Elkton AVA. It's complex and compelling, showing layers of stone, strawberry, citrus, chocolate and sassafras. It's an elegant wine, well proportioned and modest in scope, but delicious.",45.0,Oregon,Umpqua Valley,Southern Oregon,True
US,"Bright pomegranate and dried strawberry notes start the aromas on this bottling and then descend into more brooding cola, smoked herbs, cinnamon and spicy hibiscus. There is herbal and mineral depth to the palate, with raspberry, cranberry and pencil lead flavors that evolve toward fruit punch, thyme and earth. It's light in body but full of grippy texture.",42.0,California,Edna Valley,Central Coast,True
US,"A touch of earthy funk shows at first on the nose of this bottling, laced throughout the dark cranberry, pomegranate, crushed grapeseeds and a lavish layer of violets. The palate is heavily spiced with clove, gingerbread, a touch of juniper, lots of earthy sagebrush and a strong cranberry fruit, all seasoned by an iron-powered minerality.",60.0,California,Santa Maria Valley,Central Coast,True
US,"From one of the more exciting and westernmost vineyards in the region, this bottling shows earthy, gamey aromas alongside ripe red and purple fruits, pairing plum and black cherry with minty, musky herbs. The palate shows dried olive, tart orange peels, red plums, baked figs and pine needles, proving deliciously savory and intense.",42.0,California,Santa Maria Valley,Central Coast,True
US,"Strong elements of black pepper and smoky oak beg for steak to be paired with this 100% varietal wine. It showcases sizable weight and a solid tannic structure, with supple expressions of black cherry and chocolate that linger long on the rich finish. This bold beauty should hold well through 2023.",75.0,California,Napa Valley,Napa,True
US,"From Paso's blending vanguards, this mix of 62% Syrah, 19% Petite Sirah, 13% Cabernet Sauvignon and 6% Malbec offers an intriguing nose of sesame, soy, cracked pepper, fresh blackberry and raw beef. There is cedar and toasted pine on the palate as well as smoked meats, black pepper, teriyaki and an elderberry-blackberry base.",54.0,California,Templeton Gap District,Central Coast,True
US,"This is a gorgeous wine, blended with 8% Merlot, 1% Petit Verdot and 1% Malbec, and aged entirely in new French oak. Juicy waves of cassis and red currant are accented by dark chocolate, ultimately showcasing a lush, plush yet structured palate. It's decadent now, but should age well through 2022.",85.0,California,Napa Valley,Napa,True
US,"Crisp green apple is the star in this well-made, balanced and elegant wine, that's tangy yet smooth, with a voluptuous tease of anise. Approachably structured, the complexity of the texture and lurking layers of further flavor suggest letting this wine open slowly to unveil its true self, and allowing it to linger on the palate.",50.0,California,Sonoma Coast,Sonoma,True
US,"Deep aromas of dried strawberries and blueberries meet with hot bricks, dried meats, purple flowers, a touch of smoke and secondary notes of truffle on the nose of this delicious smelling and tasting wine. The layers of flavor on the palate range from black cherry to milk chocolate, framed by chalky tannins.",150.0,California,Ballard Canyon,Central Coast,True
US,"This is the producer's highest and most westerly vineyard site. It holds back from the start, still tightly wound and somewhat reduced on the nose. As it opens, ethereal layers of wild strawberry, green tea and lacings of herb and white pepper unveil to tremendous effect.",85.0,California,Green Valley,Sonoma,True
US,"The estate-grown grapes for this wine come from some of the appellation's highest-elevation sites, at the base of Mount Veeder. Natural acidity is the star of the show, a nice surprise after a decadent honeyed color and bouquet. Serious texture and complexity give way to a touch of salted caramel and peach.",35.0,California,Carneros,Napa-Sonoma,True
US,"From the gorgeous, mighty Pagani, planted in 1895, comes this powerfully rich and refined wine, a study in woodsy rusticity and layers of fig, blackberry and a stick of cinnamon. Full bodied and luxurious on the palate, a lithe jolt of acidity rears its head just before the finish, trying to compete with the licorice and leather. Drink now through 2020.",46.0,California,Sonoma Valley,Sonoma,True
US,"Winemaker Dennis Martin puts grape grower Stephen Miller's signature on this wine, a nod to the importance of this historic vineyard. The wine shows bright strawberry and raspberry with touch of savory wood smoke as well as hibiscus-laced pastry and a pinch of thyme. Earthy sagebrush and wild herb flavors frame the palate, where cooked cherries and cranberries are spiced by cardamom and dried ginger spice.",40.0,California,Santa Maria Valley,Central Coast,True
US,"It's fun to rattle off a few of the numerous aromas and flavors in this exotic but subtle wine: tangerine, pastry cream, blanched almonds and a touch of honey. The wine is refreshing, dry and nicely braced with acidity, but at the same time rather broad and soothing in texture. In other words, beautifully balanced and wonderfully complex.",25.0,California,Sierra Foothills,Sierra Foothills,True
US,"This mostly Syrah blends in 6% Grenache, combining the two grapes from the property's estate into an opaque, juicy expression of black licorice, tar, cigar, grilled mushrooms atop a meaty steak and plenty of black pepper. Big and bold in every sense of the word, it retains just enough acidity to maintain an inviting nature and beguiling floral backbone.",48.0,California,Russian River Valley,Sonoma,True
US,"As the name makes clear, this wine is made from a head-pruned, older block of very unlikely Syrah at the estate property, as seductive as rare. Plum, black cherry, leather and black pepper jump from the glass, slowly and with purpose, around a core of burly tannin and intensely floral aromatics. This is a great wine.",45.0,California,Russian River Valley,Sonoma,True
US,"In the big, ripe and saturated school of winemaking, this wine has a deep color, oodles of black cherry and blackberry flavors and full body. It also has enough firm tannin and acidity to keep the structure lively and the finish fresh, so it's a lot of fun to drink and can take on all kinds of rich proteins at dinner.",50.0,California,Sonoma Coast,Sonoma,True
US,"Plump black plums and concentrated hibiscus fruit meet with cola, sarsaparilla and tart dried orange rind on the nose of this bottling. The palate is more earth-driven, with crushed rocks, pine needle and mint flavors spicing up the tart plum skins and berries. The texture is excitingly grippy.",48.0,California,Sta. Rita Hills,Central Coast,True
